name,nse_symbol,isin
Augmont Enterprises Limited,AUGMONT,INE16W401027
Aurionpro Solutions Limited,AURIONPRO,INE132H01018
Aurobindo Pharma Limited,AUROPHARMA,INE406A01037
Aurum PropTech Limited,AURUM,INE898S01029
AURUS GEM CORPORATION LIMITED,AURUS,INE142K01011
Ausom Enterprise Limited,AUSOMENT,INE218C01016
Austin Engineering Company  Limited,AUSTENG,INE759F01012
Automotive Axles Limited,AUTOAXLES,INE449A01011
Autoline Industries Limited,AUTOIND,INE718H01014
Avadh Sugar & Energy Limited,AVADHSUGAR,INE349W01017
Avalon Technologies Limited,AVALON,INE0LCL01028
Avance Technologies Limited,AVANCE,INE758A01072
Avantel Limited,AVANTEL,INE005B01027
Avanti Feeds Limited,AVANTIFEED,INE871C01038
AVG Logistics Limited,AVG,INE680Z01018
Aditya Vision Limited,AVL,INE679V01027
Avonmore Capital & Management Services Limited,AVONMORE,INE323B01024
AVRO INDIA LIMITED,AVROIND,INE652Z01025
AVT Natural Products Limited,AVTNPL,INE488D01021
Awfis Space Solutions Limited,AWFIS,INE108V01019
Antony Waste Handling Cell Limited,AWHCL,INE01BK01022
AWL Agri Business Limited,AWL,INE699H01024
Axis Bank Limited,AXISBANK,INE238A01034
AXISCADES Technologies Limited,AXISCADES,INE555B01013
Axita Cotton Limited,AXITA,INE02EZ01022
Axtel Industries Limited,AXTEL,INE767C01012
Aye Finance Limited,AYE,INE501X01029
AYM Syntex Limited,AYMSYNTEX,INE193B01039
Azad Engineering Limited,AZAD,INE02IJ01035
Azad India Mobility Limited,AZADIND,INE566M01017
Bafna Pharmaceuticals Limited,BAFNAPH,INE878I01022
B.A.G Films and Media Limited,BAGFILMS,INE116D01028
Baid Finserv Limited,BAIDFIN,INE020D01022
Bajaj Auto Limited,BAJAJ-AUTO,INE917I01010
Bajaj Consumer Care Limited,BAJAJCON,INE933K01021
Bajaj Electricals Limited,BAJAJELEC,INE193E01025
Bajaj Finserv Limited,BAJAJFINSV,INE918I01026
Bajaj Healthcare Limited,BAJAJHCARE,INE411U01027
Bajaj Housing Finance Limited,BAJAJHFL,INE377Y01014
Bajaj Hindusthan Sugar Limited,BAJAJHIND,INE306A01021
Bajaj Holdings & Investment Limited,BAJAJHLDNG,INE118A01012
Indef Manufacturing Limited,BAJAJINDEF,INE0O9T01021
Bajaj Steel Industries Limited,BAJAJST,INE704G01024
Bajel Projects Limited,BAJEL,INE0KQN01018
Bajaj Finance Limited,BAJFINANCE,INE296A01032
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,INE0S2G01011
Balaji Telefilms Limited,BALAJITELE,INE794B01026
Balaji Amines Limited,BALAMINES,INE050E01027
BALAXI PHARMACEUTICALS LIMITED,BALAXI,INE618N01022
